food_name,production_name,check_num,qualified_num,unqualified_num,production_address,food_product_time,food_model,check_flag,sampling_name,sampling_province,check_projiect
藕粉,洪湖市晨光实业有限公司,1,0,1,湖北省洪湖市文泉大道经济开发区1号,2016-02-18,450g/袋,不合格 菌落总数║22000cfu/g║≤1000cfu/g,中百仓储超市有限公司紫微星购物广场,,
肯萨麻辣味挤压糕点,宁夏肯萨清真食品有限公司,1,0,1,宁夏省吴忠市利通区金积工业园区,2016-07-03,50g/袋,不合格 菌落总数；12000cfu/g；≤10000cfu/g；,宁夏肯萨清真食品有限公司,,
维乐牛肉条麻辣条,同心县韦州维乐食品厂,1,0,1,宁夏省吴忠市同心县韦州镇,2016-05-10,105g/袋,不合格 环己基氨基磺酸钠（甜蜜素）3.0g/kg；不得添加；菌落总数；340000cfu/g；≤10000cfu/g；,同心县生海超市,,
兰翠老记大武口纯手工凉皮,宁夏兰翠园食品有限公司,1,0,1,宁夏省石嘴山市大武口区潮湖村总机修厂东200米,2016-06-28,800g/盒,不合格 菌落总数；76000000cfu/g；≤1000cfu/g；大肠菌群；≥24000MPN/100g；≤70MPN/100g,银川市西夏区怡祥园菜篮子连锁超市,,
嘉旺北京烤鸭条,永宁县嘉旺食品有限公司,1,0,1,宁夏省银川市永宁县望远镇望远村四队,2016-06-13,100g/袋,不合格 环己基氨基磺酸钠（甜蜜素）1.3g/kg；不得添加；日落黄0.051g/kg；不得添加；,银川市西夏区怡祥园菜篮子连锁超市,,
美嘉旺香辣片,永宁县嘉旺食品有限公司,1,0,1,宁夏省银川市永宁县望远镇望远村四队,2016-06-13,100g/袋,不合格 环己基氨基磺酸钠（甜蜜素）1.5g/kg；不得添加；日落黄0.040g/kg；不得添加；,银川市西夏区怡祥园菜篮子连锁超市,,
微波爆米花,徐州市粒粒爆食品厂,1,0,1,江苏省徐州市鼓楼区下淀铁路二九宿舍花木基地,2016-5-10,120g/袋,不合格 乙酰磺胺酸钾(安赛蜜)║0.04g/kg║不得使用；环己基氨基磺酸钠（甜蜜素）║0.4g/kg║不得使用,徐州市粒粒爆食品厂,,
胡辣汤粉,莘县纸房食品有限公司,1,0,1,莘县张鲁镇纸房村西,2016-04-13,12.5千克/袋,不合格 菌落总数‖37000CFU/g‖≤10000CFU/g,莘县纸房食品有限公司,,
牛肉糁,山东龙润食品有限公司,1,0,1,临沂市罗庄区高都工业园,2016-04-10,135g/包,不合格 大肠菌群（粉包）‖430MPN/100g‖≤40MPN/100g；菌落总数（粉包）‖26000CFU/g‖≤1000CFU/g,山东龙润食品有限公司,,
冲调燕麦片,山西鑫邦燕麦食业有限责任公司,1,0,1,山西省山阴县岱岳镇南大道29号,2016-07-03,350g/袋,不合格 霉菌║150CFU/g║≤50CFU/g,山西鑫邦燕麦食业有限责任公司,,
红豆薏米粉（其他方便食品   冲调类）,安徽御素堂生物科技有限公司,1,0,1,安徽省亳州市亳芜现代产业园区标准化厂房一期1号楼,2016-06-28,500g/桶,不合格 大肠菌群║150MPN/100g║≤40MPN/100g,安徽御素堂生物科技有限公司,,
