food_name,production_name,check_num,qualified_num,unqualified_num,production_address,food_product_time,food_model,check_flag,sampling_name,sampling_province,check_projiect
居来香小磨香油,山西居来香调味食品有限公司,1,0,1,晋中市太谷县小白乡东里村,2015-10-01,130ml/瓶,不合格 酸值（以KOH计）‖2.9mg/g‖≤2.0mg/g,山西田森集团有限公司,,
菜籽油,黎平县绿野油脂有限公司,1,0,1,贵州省黎平县城关万福山,20151008,2.5L/瓶,不合格 酸值║1.1║0.3,凯里市三辣明洋食品有限公司一门市,,
大豆油,江苏金洲粮油食品有限公司,3,2,1,海安县海安镇开元大道199号,2015-10-12,5L/桶,合格,江苏乐天玛特商业有限公司淮安清浦店,江苏,
大豆油,江苏金洲粮油食品有限公司,3,2,1,海安县海安镇开元大道199号,2015-05-26,5L/桶,合格,江苏乐天玛特商业有限公司江阴店,江苏,
大豆油,江苏金洲粮油食品有限公司,3,2,1,海安县海安镇开元大道199号,2015-01-26,5L/桶,不合格 酸值（KOH）║0.24║≤0.20mg/g,徐州乐天超市有限公司,,
