food_name,production_name,check_num,qualified_num,unqualified_num,production_address,food_product_time,food_model,check_flag,sampling_name,sampling_province,check_projiect
贵喜黄酒,山西省代县贵喜酒业有限公司,2,0,2,山西省忻州市代县枣林镇东留属村,2016-07-18,450ml/瓶     ≥12%vol,不合格 铅（以Pb计）║4.5mg/kg║≤0.5mg/kg,山西省代县贵喜酒业有限公司,,
白酒,/,2,0,2,/,/,散装45%vol、固态法,不合格 固形物║1.11g/L║≤0.50g/L,资中县李四哥白酒店（铁佛镇）,,
白酒,/,2,0,2,/,2015-04-22,散装45%vol、固态法,不合格 酒精度║42.8%voL║45±1.0%voL；固形物║1.99g/L║≤0.50g/L；糖精钠║0.04g/kg║不得使用,资中县祥玲副食店,,
巷子深白酒（浓香型）,湖北巷子深酿酒有限责任公司,2,0,2,湖北省随州市经济技术开发区,2015-05-09,500mL/瓶 50%vol,不合格 氰化物║26.6mg/L║≤8.0mg/L,湖北巷子深酿酒有限责任公司,,
巷子深白酒（浓香型）,湖北巷子深酿酒有限责任公司,2,0,2,湖北省随州市经济技术开发区,2015-04-08,500mL/瓶 50%vol,不合格 氰化物║27.0mg/L║≤8.0mg/L,湖北巷子深酿酒有限责任公司,,
黄山清米酒,黄山市多维生物集团黄山市金状元酿造有限公司,2,0,2,安徽省黄山市休宁县经济开发区尧舜路大道西二路北侧,2016-04-01,500ml/瓶,不合格 环己基氨基磺酸钠（甜蜜素）║0.45mg/kg║不得检出,休宁县好又多购物中心,,
黄山清米酒,黄山市多维生物集团黄山市金状元酿造有限公司,2,0,2,黄山市休宁县经济开发区尧舜路大道西二路北侧,2015-09-09,500ml/瓶,不合格 环己基氨基磺酸钠（甜蜜素）║0.95mg/kg║不得检出,黄山市黄山区天润发超市有限公司,,
白酒（高粱酒）,南漳县李卫祥酒厂,2,0,2,湖北省襄阳市南漳县武安镇埝河路61号,2015-05-01,散称,不合格 糖精钠║0.037g/kg║不得使用;甜蜜素║103mg/kg║不得使用,南漳县李卫祥酒厂,,
白酒（高粱酒）,南漳县李卫祥酒厂,2,0,2,湖北省襄阳市南漳县武安镇埝河路61号,2015-01-05,散称,不合格 糖精钠║0.003g/kg║不得使用;甜蜜素║10mg/kg║不得使用,南漳县李卫祥酒厂,,
源酱酒53%vol,贵州省仁怀市怀宝酒业有限公司,2,0,2,贵州省遵义市仁怀市茅台镇国酒大道二号路,2015-07-20,125ml/瓶,不合格 糖精钠‖0.003g/kg‖不得检出；甜蜜素‖0.004g/kg‖不得检出；,贵州省仁怀市怀宝酒业有限公司,,
源酱酒53%vol,贵州省仁怀市怀宝酒业有限公司,2,0,2,贵州省遵义市仁怀市茅台镇国酒大道二号路,2015-07-20,125ml/瓶,不合格 糖精钠‖0.003g/kg‖不得检出；甜蜜素‖0.004g/kg‖不得检出,贵州省仁怀市怀宝酒业有限公司,,
土茅帅酒（配制酒）50%vol,贵州土茅帅酒业（集团）有限公司,2,0,2,贵州省仁怀市茅台镇上坪村,2016-04-01,500ml/瓶,不合格 酒精度‖52.1%vol‖50.0±1.0%vol,贵州土茅帅酒业（集团）有限公司,,
土茅帅酒（配制酒）50%vol,贵州土茅帅酒业（集团）有限公司,2,0,2,贵州省仁怀市茅台镇,2016-03-01,500ml/瓶,不合格 酒精度‖51.8%vol‖50.0±1.0%vol,贵州土茅帅酒业（集团）有限公司,,
绿风酒52%vol（配制酒）,普定县绿风种养殖专业合作社,2,0,2,贵州省安顺市普定县马场乡马场村虎山林场,2015-06-22,500ml/瓶,不合格 酒精度‖50%vol‖52.0±1.0%vol,普定县绿风种养殖专业合作社,,
绿风酒52%vol（配制酒）,普定县绿风种养殖专业合作社,2,0,2,贵州省安顺市普定县马场镇马场村虎山林场,2015-05-22,500ml/瓶,不合格 酒精度‖50%vol‖52±1%vol,普定县绿风种养殖专业合作社,,
张寡妇黄酒,宁夏吴忠市张寡妇黄酒厂,2,0,2,宁夏吴忠市古城工业园区,20160122,500ml/瓶,不合格 酒精度；20.2%VoL；11.0-13.0%VOL,银川市双宝副食品有限公司菜篮子锦泰店,,
张寡妇黄酒,宁夏吴忠市张寡妇黄酒厂,2,0,2,宁夏吴忠市古城工业园区,2015-12-12,500ml/瓶,不合格 酒精度；20.5%vol；11-13%VOL,银川市金凤区爱购便利超市,,
纯包谷酒,-,2,0,2,-,2016-01-06,-,不合格 酒精度‖48.5‖25.0～55.0，酒精度标签明示值(53%(V/V))允许误差为±1.0%（V/V,玉屏县杨酒散酒行,,
